year,month,month_name,south,west,midwest,northeast
1968,1,January,35.6,17,22.6,12.9
1968,2,February,31.5,18.6,23.3,9.7
1968,3,March,42.5,17.4,24.4,10.7
1968,4,April,42.9,20.6,27,12
1968,5,May,46.2,20,25.1,20
1968,6,June,37.7,23.2,26.9,16.8
1968,7,July,50.3,21.2,25.7,20.1
1968,8,August,46.6,23.1,33.4,15.3
1968,9,September,48.7,22,37.9,27
1968,10,October,50.2,23,34.2,20.5
1968,11,November,45.7,18.4,35.8,14.4
1968,12,December,49.8,21.6,31.2,19.5
1969,1,January,40.1,19.7,18,11
1969,2,February,34.8,23,23.3,14.9
1969,3,March,53.3,21.1,23.5,17
1969,4,April,38.1,20.9,24.9,14.8
1969,5,May,50.9,22.8,26.4,17.9
1969,6,June,53.7,23.5,31.6,22.9
1969,7,July,46.5,25.4,27.3,19.5
1969,8,August,45.8,22.3,36.7,21.5
1969,9,September,48.4,24.5,39.8,21
1969,10,October,49.4,28.4,35.2,23.5
1969,11,November,38.9,26.4,29.6,18.1
1969,12,December,53.2,23.4,28.4,17.7
1970,1,January,43.7,25.2,23.1,13.2
1970,2,February,39.6,24.5,19.6,13.2
1970,3,March,40,25,17.5,13.3
1970,4,April,43.9,24.4,24.3,10.8
1970,5,May,40.5,22.9,28.3,15.9
1970,6,June,60.1,25.8,29.9,15
1970,7,July,45.5,28.5,25.8,17.6
1970,8,August,65.9,28.8,34.5,18.4
1970,9,September,49.7,31.2,29.7,18.3
1970,10,October,62.6,25.7,34.6,18.1
1970,11,November,52.4,25.7,28.1,14.3
1970,12,December,50.9,27.8,27.9,16.9
1971,1,January,46.8,22.3,24,14.2
1971,2,February,45.1,24.1,14.3,14.9
1971,3,March,50,28.8,17.7,11.7
1971,4,April,60.6,32.3,25.1,15.2
1971,5,May,60.4,30.3,27.1,15.9
1971,6,June,63.4,30.8,28.7,21.4
1971,7,July,62.3,36.7,28.5,18
1971,8,August,69.3,43.1,37.9,21.2
1971,9,September,65.5,38.2,40.2,26
1971,10,October,66.4,43.5,37.7,27.1
1971,11,November,63.7,34.2,34.2,21
1971,12,December,73.6,40.9,32.8,19.1
1972,1,January,67.6,32.8,26.6,18.2
1972,2,February,61.2,35.8,27.5,19
1972,3,March,61.4,34.1,28.4,21
1972,4,April,64.9,34.6,30.3,18.6
1972,5,May,61.8,39.4,32.7,19.5
1972,6,June,73.5,41.1,35.2,24.1
1972,7,July,71.5,34.9,34.4,22.1
1972,8,August,81.4,42.9,38,27.4
1972,9,September,73.4,46,40.7,32.9
1972,10,October,82.2,43.6,42.2,25.6
1972,11,November,64,36.6,36.6,27.1
1972,12,December,85.7,40.6,39.1,25.7
1973,1,January,72.2,33.7,32.4,23.2
1973,2,February,66.2,34.6,22.5,20.2
1973,3,March,71.2,42.9,33.2,15.7
1973,4,April,79,36.2,30.1,21.8
1973,5,May,82.8,39.5,31.9,28
1973,6,June,87.1,40.1,43.3,31.7
1973,7,July,74.9,39.5,34.3,23.9
1973,8,August,85.3,35.9,38.6,26
1973,9,September,75.1,44.8,45.7,22.4
1973,10,October,75.3,40,55.7,27.8
1973,11,November,67.3,33.6,38.2,25.5
1973,12,December,69.8,37.7,35.8,27.8
1974,1,January,65.8,28.7,27.5,21.1
1974,2,February,59.9,28.7,26.3,16.2
1974,3,March,64.1,26.7,25.3,20.8
1974,4,April,61.8,26.5,34.7,14.7
1974,5,May,60.3,31.7,24.9,20.4
1974,6,June,69.4,31.3,42.2,23.6
1974,7,July,66,28.1,29.1,19
1974,8,August,60,32.9,32.6,21.5
1974,9,September,68.7,32.5,31.3,18.6
1974,10,October,65,30,41.1,19.8
1974,11,November,56,31.5,31.6,19.5
1974,12,December,59,34.7,30.6,16.6
1975,1,January,50.3,21.7,31.4,13.9
1975,2,February,39.7,21.1,20.5,10.5
1975,3,March,44.1,20,17.3,17.8
1975,4,April,38.8,19.8,21,12.7
1975,5,May,42.1,21.5,26.2,17.5
1975,6,June,49,21.7,24.2,15
1975,7,July,47.4,22,23.9,14.1
1975,8,August,47,28.6,27.8,12.5
1975,9,September,39.1,26.8,37.4,19.6
1975,10,October,40.5,26.8,26.2,17.1
1975,11,November,45.3,29.5,28.3,18.5
1975,12,December,48,27.3,29,16.7
1976,1,January,36.5,22.4,23.8,8.9
1976,2,February,36.6,22,22.2,8.5
1976,3,March,38.6,23.4,24.8,13.9
1976,4,April,38,25.6,20.8,11.5
1976,5,May,40.5,29,28.9,15.1
1976,6,June,45.4,30.9,26.7,17.7
1976,7,July,43.3,28.6,32.3,11.4
1976,8,August,43.2,27.1,39.3,16.4
1976,9,September,46.3,26.8,36.7,18.5
1976,10,October,48,33.6,31.6,19.1
1976,11,November,48.4,32.9,32.3,16.3
1976,12,December,48.5,36,36.1,13
1977,1,January,37.7,31,25.5,9.2
1977,2,February,45.5,32.2,22.4,9.7
1977,3,March,50.5,33.8,24.8,13.1
1977,4,April,43.8,33.6,22.6,12.1
1977,5,May,46.5,33.5,29.3,12.1
1977,6,June,55,41,34.6,14.3
1977,7,July,54.6,38.1,35.3,14.5
1977,8,August,58.6,39.2,41.8,15.7
1977,9,September,61.3,41.2,51.1,18.6
1977,10,October,59.6,40.1,40.6,22.1
1977,11,November,62,40,35.9,21.2
1977,12,December,61.2,40.6,36.1,14.1
1978,1,January,48,37.4,25.7,14.6
1978,2,February,48.3,32.3,22.3,12.9
1978,3,March,55.3,37,28.3,12.3
1978,4,April,59,37.8,28.1,11
1978,5,May,64.4,41.2,30.9,9.7
1978,6,June,64,50.5,35.3,17.6
1978,7,July,65.4,43.5,39.5,18
1978,8,August,70.4,51.8,41.8,13.7
1978,9,September,74.5,46.4,42.9,17
1978,10,October,75,46.4,39.5,19.2
1978,11,November,61.5,46,42.4,17.6
1978,12,December,66.3,46.9,39.7,18.3
1979,1,January,55.5,34.4,28.9,11.3
1979,2,February,55.2,34.5,25,11.4
1979,3,March,62.6,40.3,32.5,13.8
1979,4,April,61.3,42.5,25.9,12.1
1979,5,May,61.7,42.2,34.1,16.9
1979,6,June,64.9,45.2,36.9,18.6
1979,7,July,62,38.7,32.7,16.5
1979,8,August,67.5,40.6,35.3,15.6
1979,9,September,70.1,48.1,41.3,20.6
1979,10,October,68.7,44.3,43.1,17.8
1979,11,November,61.9,45.1,41.5,17.5
1979,12,December,70.4,50,37.4,16.3
1980,1,January,54.7,35.4,23.2,11.6
1980,2,February,61.1,31.8,24.1,9.4
1980,3,March,59.8,35.7,21.9,12.6
1980,4,April,61.6,31.9,28,13.5
1980,5,May,56.7,33.9,19.3,9.9
1980,6,June,61.5,30.5,29.4,10.4
1980,7,July,58.5,31.5,19.6,15.5
1980,8,August,57.5,34,25.1,11.3
1980,9,September,53.2,28.8,20,14.5
1980,10,October,53.2,31,23.9,12.2
1980,11,November,53.1,30.4,18,12.9
1980,12,December,65.1,31.2,21.1,12.1
1981,1,January,44.2,22.1,14.1,7.5
1981,2,February,45.2,25.3,15.1,8.1
1981,3,March,51.7,24.7,17,12.3
1981,4,April,52.1,28.2,21.9,9.1
1981,5,May,48.9,23.5,15.3,9.9
1981,6,June,56.1,25.9,26.4,14.7
1981,7,July,56,27.4,17.4,10.7
1981,8,August,51.4,26.9,18.6,12.9
1981,9,September,56.9,23.2,18.4,11.6
1981,10,October,59,24.3,19.6,13.8
1981,11,November,50.2,19.6,15.2,7.5
1981,12,December,54.6,23.2,18.5,9.2
1982,1,January,38.1,17.3,9.6,7.5
1982,2,February,33.4,15.1,9.7,4.8
1982,3,March,41.2,17.5,7.9,6.4
1982,4,April,40.9,16.4,10.1,7.5
1982,5,May,48.2,14.5,9.6,13.3
1982,6,June,45.8,18.4,13.7,7.3
1982,7,July,42.5,17.2,13.2,12.7
1982,8,August,50,17,15.5,7.7
1982,9,September,44.6,14.5,15.1,9.7
1982,10,October,50,17.9,14.8,19.5
1982,11,November,47.7,19.2,11.9,14.7
1982,12,December,56.3,18.1,11.9,9.4
1983,1,January,43.6,17.9,11,9.4
1983,2,February,41.6,16.5,9.7,9.4
1983,3,March,49.4,20,9.7,8.5
1983,4,April,50.9,19.7,11.5,8.6
1983,5,May,60.2,21.8,12.7,11
1983,6,June,65.3,26.2,19.4,11.7
1983,7,July,64.1,27.4,15.8,12.2
1983,8,August,85.1,31.4,25.4,13.1
1983,9,September,68.9,31.6,20.4,12.6
1983,10,October,81.8,32.1,24.1,14.8
1983,11,November,63.5,28.8,19.8,12.8
1983,12,December,71.5,31,21.2,14.6
1984,1,January,60.4,26.9,11.6,13.1
1984,2,February,59.1,28.2,11.4,10.5
1984,3,March,67.8,28.4,12.5,10.7
1984,4,April,68,31.2,15.4,12.3
1984,5,May,75.5,37.4,18.1,11.7
1984,6,June,84.8,38,18.3,15.5
1984,7,July,77.2,35.9,18.3,14.8
1984,8,August,75.2,32.8,24.8,18
1984,9,September,75.8,33.8,24.9,11.8
1984,10,October,81.3,39.2,23.2,15.4
1984,11,November,66,28.6,21.1,17.8
1984,12,December,75.5,35.9,21.5,16.6
1985,1,January,59.3,27.8,15.9,16.1
1985,2,February,63.9,31.3,14.6,11.1
1985,3,March,60.8,33.1,15.6,15.7
1985,4,April,61,36.8,14.5,14.8
1985,5,May,64.1,36.8,15.6,15.3
1985,6,June,82.9,39.2,20.6,20.7
1985,7,July,70.3,40.4,17.8,18.6
1985,8,August,74.7,37.2,24.7,17.8
1985,9,September,73.5,42.2,20.3,22.2
1985,10,October,61.4,42.7,24.7,21.8
1985,11,November,64.6,39.5,20.4,18.8
1985,12,December,75.9,39.9,25.6,20.8
1986,1,January,56.3,34.5,15.9,15.6
1986,2,February,50.9,37.4,14.5,15.2
1986,3,March,60.2,38.8,15.8,18.2
1986,4,April,62.3,33.6,15.3,18
1986,5,May,74.3,35.2,20.4,18
1986,6,June,66.3,40.4,21,22.3
1986,7,July,66,39.9,25.4,19.2
1986,8,August,66,42,27.6,23.5
1986,9,September,64.1,39.1,28.1,25.9
1986,10,October,67.9,44.3,30.2,25
1986,11,November,57.9,36.9,27.4,24.8
1986,12,December,71.6,46.6,28.1,28.4
1987,1,January,56.1,37.4,21.8,21.4
1987,2,February,47.4,35.4,18.2,16.8
1987,3,March,48.9,32.1,24.7,20.7
1987,4,April,53.8,38.9,21.5,21.5
1987,5,May,55.6,33.7,21.3,20.7
1987,6,June,59.8,41.6,24.9,21.8
1987,7,July,59.6,37.5,24.6,21.9
1987,8,August,58.2,43.3,29.4,20.9
1987,9,September,58.2,35,29.2,21
1987,10,October,55.6,42.3,29.1,22.2
1987,11,November,49.3,33.2,25,22.6
1987,12,December,57.9,38.2,32.5,26.1
1988,1,January,44.2,29.7,20.8,15.6
1988,2,February,44.6,27,14.9,13.3
1988,3,March,50.8,31.9,19.1,19.2
1988,4,April,48.3,34.3,22.6,20.5
1988,5,May,45,28.5,21.2,20.6
1988,6,June,50.8,35.9,26.6,22.3
1988,7,July,54.8,32.2,24.4,19.6
1988,8,August,53.8,40.6,26.4,22.6
1988,9,September,51.1,33.1,28,25.4
1988,10,October,50.5,41.6,26.1,26.7
1988,11,November,48,29,23.1,17.8
1988,12,December,52.8,40.7,27.2,26.5
1989,1,January,46.2,27.5,17.1,20.4
1989,2,February,39,31.1,16.8,18.1
1989,3,March,43.1,28.9,18.4,16.3
1989,4,April,46,31.7,21.3,22.9
1989,5,May,46.6,28.9,20.1,17.4
1989,6,June,47.8,32.1,21.5,16.4
1989,7,July,45.2,32.8,25.4,17
1989,8,August,51.9,39,25.6,18.4
1989,9,September,47.4,32.5,26,17.1
1989,10,October,46.9,34.6,26.1,16.1
1989,11,November,45.9,32.5,27.2,17.9
1989,12,December,43.3,36,21.6,20.6
1990,1,January,38.2,34.8,20.1,14.2
1990,2,February,34.6,26.9,15.9,11.6
1990,3,March,47.4,28.4,14.6,11.8
1990,4,April,38.6,31.4,20.5,10.8
1990,5,May,41.8,30.5,21.8,13.3
1990,6,June,45.9,29.5,23,15.1
1990,7,July,42.5,33.3,22.9,13.3
1990,8,August,51.1,32.6,25.7,11.2
1990,9,September,48.5,35.2,25.9,12.8
1990,10,October,42.6,32.5,26.4,17.7
1990,11,November,39.3,27.8,23.1,12.3
1990,12,December,40.1,33.3,23.5,13.6
1991,1,January,30.4,22.9,17.2,11.5
1991,2,February,31,21.9,12.9,6.7
1991,3,March,36,25.9,17.2,8.5
1991,4,April,35.2,23.2,16.6,9.3
1991,5,May,32.5,22.6,19.2,8.3
1991,6,June,43.6,23.3,23,9.3
1991,7,July,36.7,25.3,20.5,9.4
1991,8,August,40.6,24.1,24.3,9.7
1991,9,September,41.3,28.5,25.7,13.8
1991,10,October,39.3,25.4,25.3,12
1991,11,November,31.9,23.5,19.5,10.7
1991,12,December,40.4,24.8,19,10.9
1992,1,January,27.7,20.3,15.9,10.3
1992,2,February,33.3,19.6,15.1,8.8
1992,3,March,35.7,22.2,16.4,8.7
1992,4,April,33.1,20.9,18.5,10.1
1992,5,May,37.5,23.1,21.4,12.3
1992,6,June,43.8,26.5,22.7,12
1992,7,July,42.5,25.2,23,14.6
1992,8,August,44.1,26.4,26.1,9.2
1992,9,September,40.7,28.2,26,10.6
1992,10,October,43.2,23.4,27.7,13.9
1992,11,November,36.5,23.9,28.3,13.3
1992,12,December,44.2,30.5,27.4,12.8
1993,1,January,35.4,21.4,16.2,7.8
1993,2,February,34.4,18.5,19.6,9.1
1993,3,March,39.7,20,15.7,7
1993,4,April,36.3,23,20.7,10.7
1993,5,May,42.2,21.9,18.9,7.3
1993,6,June,42.4,29,24.4,8.9
1993,7,July,42.4,21.4,20.8,9.1
1993,8,August,50.2,26.9,26.9,11.7
1993,9,September,46.2,26,26.8,8.6
1993,10,October,47.2,28.7,30.9,11.3
1993,11,November,43.7,24.2,24.7,13.6
1993,12,December,51.8,28.9,27.7,12.4
1994,1,January,38,23,17.9,7.6
1994,2,February,38.1,25.5,18.7,7.2
1994,3,March,42.7,24,20,7.4
1994,4,April,46.5,26.3,21.4,9.4
1994,5,May,48.5,30.3,25.4,11.4
1994,6,June,51,26.4,29.4,10.3
1994,7,July,45,29.4,23.7,10.7
1994,8,August,51.4,30.9,28.7,13
1994,9,September,55.5,29.3,32,11.7
1994,10,October,56.6,30,31.6,12.2
1994,11,November,50.6,27.8,27.2,10.8
1994,12,December,56.9,32.6,31.2,11.6
1995,1,January,45,21.2,22.7,11.4
1995,2,February,38.7,20.2,18.8,8.3
1995,3,March,46.6,27.8,20.7,9.9
1995,4,April,44.5,23.9,25.9,7.2
1995,5,May,46.9,24.9,24.8,11.2
1995,6,June,48.1,25.7,24.7,10.3
1995,7,July,48.9,27.4,25.9,13.3
1995,8,August,53.5,27.3,25.8,8.8
1995,9,September,49.7,27.7,27,11.1
1995,10,October,56.2,30.6,25.9,12.7
1995,11,November,51.1,30.3,25,9.7
1995,12,December,52,29.6,20.8,12.9
1996,1,January,43.9,26,21,8.4
1996,2,February,41.9,24.7,15.2,9.2
1996,3,March,49.7,26.8,20,6.6
1996,4,April,45.9,24.3,22.9,8.8
1996,5,May,53.3,29.5,22.6,9.2
1996,6,June,56.6,30.5,27.8,10.9
1996,7,July,56.3,30.8,29.9,9.3
1996,8,August,61.4,31.4,30.3,11
1996,9,September,51.3,31.7,27.4,11.7
1996,10,October,59.7,30,27.1,13.2
1996,11,November,52.3,27,30,13.5
1996,12,December,64.7,33.6,30.3,13.3
1997,1,January,41.6,24.4,21.2,8.5
1997,2,February,49,24.7,20.5,10.5
1997,3,March,51.9,25.4,19,13.4
1997,4,April,52.8,26.2,23.1,8.6
1997,5,May,49,29.1,22.8,12.7
1997,6,June,50.4,28.3,24.5,10.7
1997,7,July,49.7,27.5,24.3,11.3
1997,8,August,52.6,29.8,28.7,10.2
1997,9,September,60.7,27.1,28.4,13.1
1997,10,October,57.3,30.9,29.2,11.4
1997,11,November,55,29.7,27.3,11.4
1997,12,December,64,33.5,26.9,12.1
1998,1,January,40.7,23.3,17.9,9.5
1998,2,February,45.7,23.8,20,8.3
1998,3,March,50.6,28.7,23.9,8
1998,4,April,56.6,24,25.4,9.2
1998,5,May,54.5,27.5,25.5,11.4
1998,6,June,59,29.9,26.9,12
1998,7,July,60,32.4,30.2,10.9
1998,8,August,64.5,33.1,28.2,12.8
1998,9,September,59.2,32.3,25,14.4
1998,10,October,58.5,34.7,27.5,12.6
1998,11,November,61.7,36.4,27.2,13.6
1998,12,December,60.6,34.1,27.3,14.5
1999,1,January,57.1,27,19.7,8.6
1999,2,February,50.8,23.6,18.1,7.9
1999,3,March,57.4,33.4,27,10.4
1999,4,April,54.1,31.6,24.9,11.8
1999,5,May,60.4,30.4,27.9,13.8
1999,6,June,62.3,36.1,30.9,13.5
1999,7,July,62.3,33.6,26.8,14.6
1999,8,August,67.7,30.5,31,13.2
1999,9,September,63.3,37.8,32.9,12.4
1999,10,October,65.9,36.7,31.2,10.3
1999,11,November,62.5,34.4,30.5,12.8
1999,12,December,69,39.7,33.7,13.4
2000,1,January,52.2,24.9,23,10
2000,2,February,56,27.6,21.6,10.8
2000,3,March,57.8,33.5,27.8,11.5
2000,4,April,56.9,31.9,23.4,12.1
2000,5,May,64,30,30.5,12.1
2000,6,June,63.1,26.5,30.7,13.2
2000,7,July,61.2,29.4,24.2,12.1
2000,8,August,65,33.4,33.4,12.2
2000,9,September,58.6,30.2,32,14.8
2000,10,October,64.8,29.8,28.8,13.5
2000,11,November,63.2,30.6,30.1,11.3
2000,12,December,66.6,36.1,29.1,12.3
2001,1,January,44.1,24.2,20.9,10.8
2001,2,February,52.5,25.2,19.2,9.2
2001,3,March,55.8,28.7,20.3,9.6
2001,4,April,54.9,31.1,24.6,10.9
2001,5,May,56.8,30.7,23.4,11
2001,6,June,68.2,33.1,28,14.6
2001,7,July,62.6,29.9,31.5,10.7
2001,8,August,69.5,37.4,29.2,12.4
2001,9,September,64.8,32.7,28.6,11.1
2001,10,October,64.5,34.7,29.8,14.5
2001,11,November,56,36.3,31.6,12.8
2001,12,December,76.7,39.2,29.3,17.1
2002,1,January,53.2,27.2,18.9,12.9
2002,2,February,53.7,28,24,9.4
2002,3,March,54,33,24.3,9.8
2002,4,April,62.3,27.7,25.4,11.9
2002,5,May,67.7,31.7,28.8,11.2
2002,6,June,64.8,37.4,21.8,14.3
2002,7,July,65.2,33,26.8,11.7
2002,8,August,69,40.5,33.4,15.5
2002,9,September,66.2,36.1,31.9,12.3
2002,10,October,67.4,34.6,29.5,11.8
2002,11,November,61.3,41,33.6,13.8
2002,12,December,73,42.7,31.3,13.3
2003,1,January,56.3,29.2,18.4,9.5
2003,2,February,52.2,30,19.2,14.3
2003,3,March,57.7,33.8,25.3,8.6
2003,4,April,59.7,31.4,27.4,11
2003,5,May,61.1,37.5,28.3,16
2003,6,June,64.8,36.9,28.6,13.8
2003,7,July,60.8,38.7,30.6,11.4
2003,8,August,62.4,36.6,30.2,14
2003,9,September,63.2,41.9,33.6,13.8
2003,10,October,69,42.8,30.1,13.5
2003,11,November,67.7,36.9,29.4,14.5
2003,12,December,80.8,40.4,31.1,14.2
2004,1,January,51,32.9,25.1,9.5
2004,2,February,54.1,31.6,24.2,9.6
2004,3,March,66.1,36.5,24.3,10.1
2004,4,April,70,42.9,28.5,10.6
2004,5,May,76.4,39.9,31.1,12
2004,6,June,73.2,43.4,30.1,15.4
2004,7,July,73.5,40.2,31.8,13.4
2004,8,August,79.2,40.6,40.3,16.5
2004,9,September,72.5,40,31.9,13.8
2004,10,October,71.2,43.4,33,17.4
2004,11,November,70.6,37.7,28.3,13.8
2004,12,December,82.5,54.2,33.6,13.8
2005,1,January,60.5,37.8,21.7,10.9
2005,2,February,61.9,31.9,25.4,12.8
2005,3,March,62.5,39.5,23.3,10.4
2005,4,April,71,40.1,27.3,12.3
2005,5,May,81.7,44.1,36.5,14.1
2005,6,June,81.9,41.2,31,16.9
2005,7,July,74.1,43.3,28.8,12.3
2005,8,August,78.7,46,33.8,19.9
2005,9,September,80.7,45,31.3,15.1
2005,10,October,84.5,45.4,31.9,13.9
2005,11,November,76,41.9,30.5,14.4
2005,12,December,90.2,48.9,30.6,17.8
2006,1,January,69.8,35.8,23.5,13.3
2006,2,February,68.5,38,21.3,14
2006,3,March,87.6,42.8,26.1,12.7
2006,4,April,77.9,38.6,26.6,17.2
2006,5,May,78,41.7,25.5,13.7
2006,6,June,86.5,48.2,29.3,15.5
2006,7,July,85.1,36.6,27.2,14.8
2006,8,August,82.1,41.9,30.4,16.1
2006,9,September,86.2,46.1,30.5,18
2006,10,October,87.9,40.8,29.4,14.4
2006,11,November,82.6,35.8,26.4,14
2006,12,December,94.5,42.3,29,15.3
2007,1,January,67.7,30,17.7,11.9
2007,2,February,62.3,25.2,15.3,9.7
2007,3,March,64.3,31.9,17,9.7
2007,4,April,63.7,28.3,17.7,9.2
2007,5,May,66.1,32.9,19.4,11.2
2007,6,June,67.1,30.4,19.1,14.5
2007,7,July,67.3,31.5,19.3,11
2007,8,August,70,36.2,16.6,14.1
2007,9,September,57.2,30.9,22.9,12.2
2007,10,October,62.1,28,19.4,16.6
2007,11,November,56.6,31.3,19.9,10.9
2007,12,December,61.8,32.7,18.4,13.8
2008,1,January,48.4,23.6,12.9,8.7
2008,2,February,48.1,16.5,15.2,7.2
2008,3,March,47.1,23.1,12.6,7
2008,4,April,40.6,19,11.2,8.6
2008,5,May,48.5,21.3,15.2,11.5
2008,6,June,51.4,23.4,17.3,7.6
2008,7,July,45.7,23,11.6,11.1
2008,8,August,50,19.6,16,8.9
2008,9,September,47.2,24.5,22.1,10.4
2008,10,October,48,22.8,15.6,7.8
2008,11,November,43.3,22.5,16.2,9.4
2008,12,December,49,25.1,12.3,11.4
2009,1,January,27.8,12.6,8,6.2
2009,2,February,26.9,14.8,7.8,6.9
2009,3,March,32.2,16.8,8.3,4.8
2009,4,April,31.7,13.8,9.1,10.9
2009,5,May,35,16.4,10,6.7
2009,6,June,34.3,16.4,10.3,9.4
2009,7,July,31.4,17,9.4,8.6
2009,8,August,41.3,14.5,11.9,6.3
2009,9,September,29.8,15.9,9.9,8.9
2009,10,October,32.3,17.2,9,9
2009,11,November,33.7,17.3,13.1,8.5
2009,12,December,37.2,14.8,12.3,8.1
2010,1,January,21.2,13.9,5.5,5.8
2010,2,February,23,11.2,5.7,5.6
2010,3,March,26,12.5,5.7,4.4
2010,4,April,32.1,10.5,7.9,7.2
2010,5,May,26.2,14.9,10,7.5
2010,6,June,33.9,21.2,14.8,7.7
2010,7,July,23.8,9.8,8.8,5.8
2010,8,August,26.6,10.9,9.3,7.9
2010,9,September,26.7,13.2,8.8,7.9
2010,10,October,25.9,10,10.7,8.2
2010,11,November,22.4,8.4,11,6.5
2010,12,December,28.9,11.2,8.7,5.9
2011,1,January,17.3,7.2,6.3,4.2
2011,2,February,23.1,8.1,6.4,4.4
2011,3,March,25.4,7.4,6.5,4.5
2011,4,April,21.9,7.7,7.4,5.2
2011,5,May,20,11.1,8.7,5.6
2011,6,June,24.6,8.8,9.6,7.5
2011,7,July,29.6,8.5,9.7,5.8
2011,8,August,26.9,12.4,11.8,6.3
2011,9,September,26.5,10.7,8.6,8.9
2011,10,October,25.6,9.8,9,7.7
2011,11,November,26,10.5,8.8,4.7
2011,12,December,28.6,11.9,10,7.8
2012,1,January,18.8,6,5.8,5.8
2012,2,February,19.9,7.4,6.4,5.3
2012,3,March,22.1,9.1,8.4,4.8
2012,4,April,26.1,11.9,8.3,6.1
2012,5,May,24.5,10.1,8.5,6.8
2012,6,June,27.9,10.9,9,7.2
2012,7,July,26.7,11.7,11.8,8
2012,8,August,30.9,16.5,11.3,6.1
2012,9,September,28.7,13,10.3,6.6
2012,10,October,36.6,13.5,11.3,6.3
2012,11,November,28.7,14,8.9,6.2
2012,12,December,33.7,15.3,10.4,5.4
2013,1,January,24.8,12.5,5.5,4.6
2013,2,February,26.4,12.2,7.1,4.1
2013,3,March,29.2,18.2,7.9,6.5
2013,4,April,27.9,12,10,4.7
2013,5,May,31.3,12.9,9.3,4.8
2013,6,June,34.1,16.1,9.4,6.4
2013,7,July,32.3,16.5,10.4,7.8
2013,8,August,38.2,15.1,11.4,6.9
2013,9,September,35.8,14.3,12.3,7.3
2013,10,October,38.9,15.7,12.6,6.4
2013,11,November,33.5,17.5,12.5,7.3
2013,12,December,37,16.1,12.2,8.5
2014,1,January,29.2,12.6,8.2,6.2
2014,2,February,31.8,13.5,10.2,4.1
2014,3,March,37.7,15.8,9.8,4.4
2014,4,April,34.2,15,9.2,5.5
2014,5,May,33.7,17.5,12.2,10
2014,6,June,36.2,15.2,13.1,7
2014,7,July,35.8,15.9,12.9,5.9
